Request URL,Request type,Requests Count,"Response time MIN, s","Response time AVG, s","Response time MAX, s","Content-length MIN, kb","Content-length AVG, kb","Content-length MAX, kb"
"Search with SelectedDateTimeFacets,SelectedTermFacets,DateTimeFacetFilters"
api/search/activitypointer,POST,1,1.066,1.066,1.066,7804,7804,7804
"Search with NumericFacetFilters,SelectedNumericFacets,TermFacetFilters"
api/search/awx_propertysale,POST,1,1.193,1.193,1.193,6005,6005,6005
api/search/contact,POST,3,1.124,1.3940000000000001,2.191,7580,25835,25892
api/search/awx_availability,POST,1,0.743,0.743,0.743,18174,18174,18174
Search with NumericFacetFilters
api/search/contact,POST,30,0.745,1.121,2.92,13426,17291.0,32336
api/search/opportunity,POST,15,0.251,0.553,0.992,8316,8327,21106
api/search/awx_propertysale,POST,6,0.525,0.7909999999999999,1.254,5124,5165.0,10953
api/search/awx_listing,POST,15,0.265,0.567,1.095,8184,8190,15461
api/search/awx_availability,POST,19,0.399,0.784,3.19,10480,10507,22850
api/search/account,POST,30,0.54,1.4245,3.269,12986,16842.0,31939
api/search/awx_lease,POST,19,0.485,1.326,2.633,10808,10826,27754
api/search/awx_property,POST,18,0.373,0.8075,3.106,10918,10943.0,23775
api/search/awx_preference,POST,16,0.327,0.7905,1.047,6706,6715.0,10321
"Search with SelectedTermFacets,DateTimeFacetFilters,TermFacetFilters"
api/search/activitypointer,POST,2,0.327,0.7235,1.12,5781,6237.5,6694
Search with GeoDistanceFacetFilters
api/search/contact,POST,1,0.88,0.88,0.88,77,77,77
api/search/opportunity,POST,1,0.274,0.274,0.274,77,77,77
api/search/awx_propertysale,POST,1,1.236,1.236,1.236,77,77,77
api/search/awx_lease,POST,1,1.007,1.007,1.007,77,77,77
api/search/awx_availability,POST,1,0.873,0.873,0.873,77,77,77
api/search/account,POST,1,1.28,1.28,1.28,77,77,77
api/search/awx_listing,POST,1,0.478,0.478,0.478,77,77,77
api/search/awx_property,POST,1,0.309,0.309,0.309,77,77,77
"Search with Ids,TermFacetFilters"
api/search/awx_preference,POST,35,0.222,0.725,1.673,8090,8669,9938
"Search with SelectedDateTimeFacets,SelectedTermFacets,SelectedNumericFacets,TermFacetFilters"
api/search/awx_lease,POST,1,1.8900000000000001,1.8900000000000001,1.8900000000000001,12678,12678,12678
"Search with SelectedTermFacets,GeoDistanceFacetFilters,SelectedNumericFacets,SelectedGeoFacets"
api/search/account,POST,1,1.222,1.222,1.222,77,77,77
"Search with SelectedDateTimeFacets,NumericFacetFilters,SelectedTermFacets,SelectedNumericFacets,TermFacetFilters"
api/search/awx_lease,POST,1,2.417,2.417,2.417,12738,12738,12738
Search with ResultsFormat
api/search/awx_floor,POST,2,0.683,2.6999999999999997,4.717,4778,14103.0,23428
api/search/awx_listing,POST,2,1.366,2.441,3.516,21349,34229.0,47109
api/search/connectionroleassociation,POST,2,0.543,0.919,1.295,4960,7594.0,10228
api/search/connectionroleobjecttypecode,POST,2,0.885,0.9545,1.024,5718,8697.5,11677
api/search/account,POST,2,1.272,2.261,3.25,31484,52626.0,73768
api/search/awx_adhoclist,POST,2,0.632,1.997,3.362,7079,16878.5,26678
api/search/awx_property,POST,2,1.274,3.297,5.32,28531,50328.0,72125
api/search/awx_commission,POST,2,1.416,3.261,5.106,5963,16652.5,27342
api/search/awx_adhoclistmember,POST,2,0.801,2.49,4.179,13996,26084.5,38173
api/search/listmember,POST,2,1.12,1.2045,1.289,5295,9378.0,13461
api/search/opportunity,POST,2,1.263,3.1945,5.126,23218,49264.0,75310
api/search/awx_lease,POST,2,0.765,2.9775,5.19,36765,57023.0,77281
api/search/awx_image,POST,2,0.722,3.0075000000000003,5.293,5934,15830.0,25726
api/search/awx_leaseperiod,POST,2,0.709,3.5885,6.468,5875,17827.5,29780
api/search/list,POST,2,1.349,2.9065000000000003,4.464,7824,17078.5,26333
api/search/connection,POST,2,0.785,1.9605000000000001,3.136,10666,24062.5,37459
api/search/awx_geography,POST,2,0.706,0.896,1.086,3026,3464.5,3903
api/search/connectionrole,POST,2,1.275,1.277,1.279,5881,7923.0,9965
api/search/contact,POST,2,1.266,3.4705,5.675,35747,56343.5,76940
api/search/awx_availability,POST,2,1.441,3.5625,5.684,35199,53417.5,71636
api/search/awx_propertysale,POST,2,1.453,2.7715,4.09,17937,30885.5,43834
api/search/transactioncurrency,POST,2,0.985,1.09,1.195,2316,2741.5,3167
api/search/activityparty,POST,2,1.191,1.338,1.4849999999999999,10137,16014.5,21892
api/search/annotation,POST,2,1.336,3.1140000000000003,4.892,5025,13793.0,22561
api/search/systemuser,POST,2,1.069,1.2974999999999999,1.526,11197,27577.0,43957
api/search/activitypointer,POST,2,1.076,3.5679999999999996,6.06,15939,32616.0,49293
api/search/awx_preference,POST,2,0.945,2.7965,4.648,23813,46156.5,68500
"Search with SelectedDateTimeFacets,SelectedTermFacets,TermFacetFilters"
api/search/awx_lease,POST,3,1.169,3.754,3.92,16367,16418,16514
Search with DateTimeFacetFilters
api/search/awx_lease,POST,6,0.322,1.151,1.34,10967,10969.0,20460
api/search/activitypointer,POST,3,1.049,1.6440000000000001,2.888,5044,7082,10390
api/search/awx_availability,POST,3,0.234,0.499,0.988,15636,20100,20667
Search with Ids
api/search/awx_floor,POST,6,0.487,0.6315,3.412,2123,2123.0,2123
api/search/awx_commission,POST,3,0.282,0.876,1.31,2410,2410,2410
api/search/awx_adhoclistmember,POST,1,0.639,0.639,0.639,3164,3164,3164
api/search/listmember,POST,1,0.763,0.763,0.763,2250,2250,2250
api/search/awx_availability,POST,9,0.159,0.836,1.434,12502,12502,12507
api/search/awx_propertysale,POST,5,0.514,0.988,1.669,6520,6520,6520
api/search/awx_lease,POST,8,0.925,1.1715,1.611,15451,15451.0,16726
api/search/opportunity,POST,6,0.158,0.4405,0.872,9743,10049.0,14082
api/search/awx_image,POST,7,0.155,0.673,3.1,2398,2414,2414
api/search/annotation,POST,16,0.118,0.53,1.432,2238,2272.0,2284
api/search/activitypointer,POST,17,0.147,0.644,1.5859999999999999,3878,4037,4123
api/search/awx_listing,POST,8,0.35,0.858,1.062,9364,9364.0,9364
api/search/awx_leaseperiod,POST,2,0.6,1.1585,1.717,2402,2403.0,2404
api/search/awx_preference,POST,2,0.821,0.841,0.861,8149,8149.0,8149
api/search/list,POST,9,0.142,0.38,0.794,2337,2337,2337
api/search/connection,POST,21,0.115,0.678,1.183,3248,3265,3373
"Search with NumericFacetFilters,SelectedTermFacets,TermFacetFilters"
api/search/awx_property,POST,2,1.0,1.0150000000000001,1.03,11076,12765.5,14455
